x, x
x, x
x, x
x, x
x, x
23, 22
23, 12
23, 22
23, 12
28, 17
28, 17
18, 17
18, 17
18, 17
18, 17
18, 17
18, 17
24, 22
24, 12
22, 22
22, 12
28, 18
28, 16
18, 18
18, 16
18, 16
18, 16
18, 16
18, 16
18, 16
25, 21
25, 13
21, 21
21, 13
27, 19
27, 15
19, 19
19, 15
19, 15
19, 15
19, 15
19, 15
19, 15
26, 20
26, 14
20, 20
20, 14
26, 20
26, 14
20, 20
20, 14
20, 14
20, 14
20, 14
20, 14
20, 14
20, 14
20, 14
20, 14
20, 14
20, 14
20, 14
20, 14
20, 14
20, 14
20, 14
20, 14
20, 14
20, 14
20, 14
20, 14
20, 14
20, 14
20, 14
20, 14
20, 14
20, 14
20, 14
20, 14
20, 14
20, 14
20, 14
20, 14
20, 14
20, 14
20, 14
20, 14
20, 14
20, 14
20, 14
20, 14
20, 14
20, 14
20, 14
20, 14
20, 14
20, 14
20, 14
20, 14
20, 14
